dataset,target_name,target_score,retained_fraction,mean_width,std_width,mean_sigma_cal,std_sigma_cal,ci_lower_width,ci_upper_width,ci_lower_sigma_cal,ci_upper_sigma_cal,e_model,ambiguity
spambase,s~0.20,0.20110100179424767,0.5,0.055955313800898604,0.036375619207358344,0.06037354006399481,0.01266098852396587,0.008690719310188342,0.15598039215686268,0.03737686282286616,0.08174570716380163,0.14268764569940098,0.18584130429385623
spambase,s~0.20,0.20110100179424767,0.25,0.0803708930989953,0.05288488591366815,0.06733716802055727,0.017114238800526278,0.009659727408513839,0.22409274193548384,0.03647019038137767,0.09330562646295824,0.14268764569940098,0.18584130429385623
spambase,s~0.20,0.20110100179424767,0.125,0.11089784284090687,0.0767110585165654,0.06791476560641174,0.018742260530495904,0.010752688172043001,0.30302446705426356,0.03683959531771092,0.10083922241257409,0.14268764569940098,0.18584130429385623
spambase,s~0.35,0.35056661709261877,1.0,0.03684210526315789,6.938893903907228e-18,0.0625391624041461,0.004432164937594683,0.0368421052631579,0.0368421052631579,0.05310101007302558,0.07043633795452073,0.14112278337285306,0.202292243767313
spambase,s~0.35,0.35056661709261877,0.75,0.08088357014355858,0.05390908845504912,0.06913779364980407,0.007745921377430879,0.021965667311411984,0.21728571428571422,0.05356311431907278,0.0832259709142813,0.14112278337285306,0.202292243767313
spambase,s~0.35,0.35056661709261877,0.5,0.08112055783316925,0.05968906387849662,0.07685370348476937,0.011846298420453413,0.02738363363363364,0.2421153846153844,0.05108489740076856,0.09895922934287715,0.14112278337285306,0.202292243767313
spambase,s~0.35,0.35056661709261877,0.25,0.13212812182508857,0.09240785736997092,0.09635813642426914,0.016850578036491537,0.03795093795093796,0.36530448717948666,0.06530703874662502,0.13101856239206605,0.14112278337285306,0.202292243767313
spambase,s~0.35,0.35056661709261877,0.125,0.21837260319145715,0.13669049059802937,0.11199902473368441,0.019101438657337842,0.07403846153846153,0.5380910852713167,0.0724776971350756,0.14922614070755544,0.14112278337285306,0.202292243767313
spambase,s~0.50,0.489244312397258,1.0,0.03448275862068966,6.938893903907228e-18,0.08466895184124221,0.005499883855122773,0.03448275862068967,0.03448275862068967,0.07275869604370531,0.09409734815480383,0.16161442305651594,0.24881093935790727
spambase,s~0.50,0.489244312397258,0.75,0.056780145187741965,0.027663737804921075,0.09174333812823095,0.008169955120701743,0.03353124999999997,0.14857142857142824,0.07674459906269496,0.11070566861647363,0.16161442305651594,0.24881093935790727
spambase,s~0.50,0.489244312397258,0.5,0.08354154046691685,0.04638178296977019,0.09743630643296042,0.012662900661413845,0.032197580645161275,0.21410256410256398,0.0748102081305415,0.12275945882980581,0.16161442305651594,0.24881093935790727
spambase,s~0.50,0.489244312397258,0.25,0.13043313078276436,0.08283603793647176,0.11377328583417055,0.016470559285538897,0.032434123847167345,0.381615802675585,0.08040120843808708,0.13928478590364216,0.16161442305651594,0.24881093935790727
